degrees,description,merchant,price,title
437°,"Bei computeruniverse  müsst ihr mit PayPal zahlen und den Gutschein Black18 verwenden.  MediaMarkt über eBay zum selben Preis aber es kommen noch 4,99€ Versand dazu.  Details :   V",computeruniverse,"179,10€",PlayStation 4 Virtual Reality V2 + Camera + VR Worlds Voucher [computeruniverse / eBay MediaMarkt]
251°,"Bei  Mediamarkt  ist das Corsair CX550 PC-Netzteil Bronze im Rahmen des Red Fridays auf 42 EUR reduziert. Wenn Ihr den Kauf über  ebay  mit dem Gutschein POWERFRIDAY abwickelt, kom",eBay,"37,80€","CORSAIR Corsair CX550 PC-Netzteil 80 Plus Bronze Netzteil, Schwarz [MediaMarkt über ebay]"
66°,Gesehen im Mediamarkt Bochum Hofstede.,NaN,888€,[Lokal: Bochum]Yamaha RX-A880
427°,"Ab  23.11.2018 9:00Uhr könnt Ihr mit dem bereits bekannten Code POWERFRIDAY die RTX 2070 für 467,10€ gönnen, müsste bisher Bestpreis sein.   Zahlung muss natürlich via Paypal erfol",eBay,469€,(ebay.de) Saturn & Mediamarkt PALIT GeForce RTX2070 Dual 8 GB
585°,"Hallo Community,  kurz und knackig da ich zur Arbeit muss: mit dem 10% Gutschein POWERFRIDAY könnt ihr bei Mediamarkt via Ebay das PSVR Bundle mit Kamera und VR Worlds für 179,10€ ",eBay,"184,09€","[Ebay / Mediamarkt] Sony Playstation PSVR V2 (9782315) + Camera + VR Worlds für 179,10€ bei Marktabholung bzw- + 4,99€ mit Versand"
157°,Nikon Abenteuer Bonus bei Saturn. Viele verschiedene Nikon Modelle und Objektive mit Coupon Aktion.  Vielleicht für den Einen oder Anderen etwas dabei.  Bei Mediamarkt ebenfalls mi,Saturn,NaN,"Nikon mit Couponaktion bei Saturn und MediaMarkt z.B. D5600 Kit für 699,00€ + 100,00€ Coupon"
63°,Mediamarkt Bonn. Black friday  Alpha 60000 2 Objektive  2 Speicherkarten Ta,NaN,655€,"Alpha 6000 Y Kit MM Bonn (16-50mm, 55-210, Tasche, 2x16GB Speicherkarte)"
296°,"MediaMarkt  beschenkt uns zum diesjährigen Red Friday mit einer  Roccat Kone AIMO  für einen kaum schlagbaren Preis von  45€  inkl. VSK! Der  Vergleichspreis  liegt bei 67,49€.  Un",Media Markt,45€,ROCCAT Kone AIMO in schwarz zum Bestpreis für 45€ inkl. VSK | MediaMarkt
544°,"In allen MediaMärkten Dresden oder auch onlineerhaltet ihr morgen den Dyson V7 CordFree plus das Tool Bag für 218€  Vergleichpreis setzt sich zusammen aus dem V7 CordFree für 255,5",Media Markt,218€,(MediaMarkt Dresden / Online) Dyson V7 Cord Free inkl. Tool Bag
218°,Saturn und MediaMarkt sind jetzt auch mitgezogen und bieten das Google Pixel 3 in allen Farben für 645€ an (Versandkostenfrei bei Abholung im Markt).  Günstiges Angebot aktuell ist,Media Markt,645€,Google Pixel 3 64GB bei Saturn und MediaMarkt für 645€ (XL für 745€)
NaN,"Wer es direkt nach Hause bestellt, muss 1,99€ Versand zahlen.  Update aktuell nur Marktabholung möglich. Aber es ist in sehr vielen Märkten verfügbar.   MediaMarkt    Produkt-Highl",Saturn,24€,GOOGLE Chromecast 2 [Saturn & MediaMarkt]
177°,"Beim Saturn und beim Mediamarkt bekommt ihr auch folgendes Angebot....  ►LOGITECH Harmony 350 Fernbedienung für 26,-€◄  Idealopreis: 33,89€  Saturn  https://www.satur…					Weiterle",Media Markt,26€,"[Mediamarkt und Saturn] LOGITECH Harmony 350 Fernbedienung für 26,-€"
294°,Auch beim Mediamarkt  https://www.mediamarkt.de/de/product/_logitech-harmony-665-2334992.html   Heute erhaltet ihr beim Saturn unter anderem folgendes Angebot...  ►LOGITECH …					W,Saturn,46€,"[Saturn Und Mediamarkt] LOGITECH Harmony 665 Universalfernbedienung für 46,-€"
553°,Überschrift sagt alles. SanDisk PLUS 1TB SSD versandkostenfrei für 113€ bei MediaMarkt. (Preis wird am 23.11.2018 00:01 Uhr freigeschaltet)  PVG ab  155€     Hersteller: SanDisk  P,Media Markt,113€,[MediaMarkt] SanDisk Plus 1TB SSD für 113€ Versandkostenfrei
305°,"Moin.  bei Mediamarkt erhaltet ihr jetzt schon die Fast & Furious 8-Movie- Collection als [Blu-ray] für 25€  Preisvergleich: ~30,97€      Darsteller:   Vin Diesel ,  Paul Walke…			",Media Markt,25€,Fast & Furious 8-Movie-Collection [Blu-ray] für 25€ [Mediamarkt]
99°,"Im Mediamarkt hauen sie die M525 für 10€ raus, nächster Preis laut idealo bei 29,99",NaN,10€,[Lokal] Media Markt Porta Westfalica Logitech m525 Power plus wireless Maus
NaN,Ihr bekommt gerade bei MediaMarkt die APPLE Watch Series 3 42 mm Smartwatch Aluminium +  JBL Reflect Contour  für 299€ inkl. Versand. Dazu müsst ihr einfach beide Produkte in den E,Media Markt,299€,APPLE Watch Series 3 42 mm Smartwatch Aluminium + JBL Reflect Contour für 299€ [MediaMarkt]
147°,Dampfbügelstation bei Mediamarkt@ebay  Idealo   - Dampfbügelstation - Leistung Bügelsystem 2500 Watt - Dampfdruck 6 bar - Sohlenmaterial Ceranium-Glissée,eBay,"89,10€","BOSCH TDS222510H Dampfbügelstation (2500 Watt, 6 bar)"
437°,"Heute erhaltet ihr beim Mediamarkt  unter anderem folgendes Angebot...  ►NBA 2K Playgrounds 2 [Nintendo Switch] für 12,99€ Versandkostenfrei◄  Idealopreis: 28,85€    …					Weiterle",Media Markt,"12,99€","[Mediamarkt] NBA 2K Playgrounds 2 [Nintendo Switch] für 12,99€ Versandkostenfrei"
137°,"Wenn Ausverkauft (geht gerade sehr schnelle), dann noch die anderen probieren.  Hier die (Ebay-)Übersicht, die von Mediamarkt oder Saturn sind fair im Preis:  https://www.ebay.de/s",eBay,"85,50€",Sony SRS-XB31  NEU & OV Bluetooth Lautsprecher NFC von Saturn Mediamarkt
-35°,"Wer keine von den Nintendo Switch von Saturn/MediaMarkt bei eBay ergattern konnte, kann jetzt noch etwas teurer bei myToys zuschlagen. Regulärer Preis 299 € für die rot/blaue Versi",eBay,269€,Nintendo Switch bei myToys über eBay
247°,"Habe gerade auf der Facebookseite vom Mediamarkt Nordhorn besondere Red Friday Angebote gesehen.  Der Sony 75XF8596 kostet da nur 1777,- euro statt vergleichsweise ein EU Model aus",NaN,1.777€,"Black Friday SONY 75XF8596 für 1777,- anstatt 1918,- /LG 55 UK 6470 für 444,-  statt 555.-(Mediamarkt Nordhorn) Bundesweiter Versand möglich"
91°,"Kurz und schmerzlos, bin gerade auf das ZTE Blade V9 auf ebay gestoßen! Preis scheint mir richtig gut! Nützt den powerfriday Gutschein! Ich habe in Gold zugeschlagen! Bei Dealerste",eBay,"134,10€",ZTE Blade V9 Smartphone 32 GB Mediamarkt über ebay
146°,"Bei Mediamarkt über Ebay gibt es hier nen einfachen Gamingstuhl von Speedlink zum Schnapper preis von 89,08 !  Für die Lütten ein schönes Weihnachtsgeschenk !  Frohe Schnäppchenjag",eBay,"89,09€",Einfacher Gamingstuhl von Speedlink unter 90 Euro !
413°,"Bei Saturn &  MediaMarkt  bekommt ihr die Intenso Slim S10000 Powerbank mit 10000mAh in schwarz & weiß für 9€ versandkostenfrei.  Preisvergleich ab  12,95€     Produkttyp: …					We",Saturn,9€,Intenso Slim S10000 Powerbank mit 10000mAh für 9€ [Saturn / MediaMarkt]
75°,"Nicht mehr bei ebay, dafür bei  MediaMarkt  jetzt.   Nur Online oder mit Abholung möglich.  EDIT: Vergleichspreis = Amazon mit 24,13€ (danke  st3lli )",Media Markt,"17,99€",NBA 2K19 [PlayStation 4]
154°,"MediaMarkt hat bei eBay das  ANKI Cozmo Starter Kit als Collector's Edition in Liquid Metal   auch in einer für den Gutschein ""POWERFRIDAY"" geeigneten Kategorie eingestellt. In Ver",eBay,"125,10€","[MediaMarkt via eBay] ANKI Cozmo Starter Kit Collector's Edition Roboter, Liquid Metal"
255°,"MediaMarkt Angebot von 99,99€ auf 49€ reduziert! Online bestellbar bei MediaMarkt Deutschland",Media Markt,49€,"LOGITECH G610 Orion, Gaming-Tastatur, Mechanisch, Cherry MX Red"
293°,"Hallo zusammen,  beim eBay-Shop von Mediamarkt erhaltet ihr den o.g. Speaker zum bisherigen Bestpreis, der Versand ist kostenlos.  Nutzt bitte den Gutscheincode um auf den Deal-Pre",eBay,"107,10€","Marshall Kilburn (schwarz) tragbarer Bluetooth Lautsprecher (Bluetooth 4.0, 20 Std. Akku, 4"" Basswoofer) [Mediamarkt@eBay]"
680°,"Heute erhaltet ihr beim Mediamarkt  unter anderem folgendes Angebot...  ►NBA 2K19 [Nintendo Switch] für 17,99€ Versandkostenfrei◄  Idealopreis:27,65    Genre  Open Wo…					Weiterle",Media Markt,"17,99€","[Mediamarkt] NBA 2K19 [Nintendo Switch] /Xbox One und Playstation 4 für  je 17,99€  Versandkostenfrei"
464°,"Bei ebay Mediamarkt  bekommt ihr das NOKIA 7 Plus DS inklusive Versandkosten für 206,10€  PVG:  229€      Produktbeschreibung von  Xdiavel  übernommen Danke:  OS: Android 9.0 (via ",eBay,"206,10€","NOKIA 7 Plus DS Dual-SIM Smartphone (64GB, 4GB RAM) (ebay Mediamarkt)"
1906°,"Am heutigen Black Friday erhaltet ihr bei Saturn und MediaMarkt@Ebay die Xbox One S Konsole in der 1 TB Version zusammen mit Forza Horizon 4, Playerunknown's Battlegrounds, Sea of ",eBay,"149,40€","Xbox One S 1 TB + Forza Horizon 4, Fortnite, PUBG oder Starter Bundle für 149,40€ (Ebay / Black Friday Übersicht ALLER Verkäufer)"
75°,Gerade im MM Wuppertal gesehen. Finde ist ein guter Preis. Sorry für die kurze Beschreibung.,NaN,169€,[Lokal MediaMarkt Wuppertal] Logitech G29
302°,"Hallo. Gerade im MediaMarkt Berlin Neukölln gefunden. Denke ist ein gutes Angebot. Ob weitere ""Verpackte Geräte"" vor Ort sind ist nicht bekannt. Sonst einfach Anrufen in der Filial",NaN,2.000€,"MediaMarkt Berlin Neukölln (Lokal, Filiale) Panasonic OLED 65"" TX65ezw954"
148°,"Guten Morgen zusammen,  Amazon ist den Mediamarkt Preis von dem  Deal  mitgegangen und gibt noch 5€ drauf  ;)",Amazon,24€,Philips HD9952/00 Airfryer Baking Kit (XXL)
405°,"Mojn, ich hoffe jetzt kann ich auch Mal nach Feierabend einen Deal abgreifen ^^   Hier bekommt ihr bei Mediamarkt die beiden Spiele NBA2k18 & WWE2K18 für je 7,99€ bei Abholung …			",Media Markt,"7,99€","NBA 2K18 & WWE 2K18 für je 7,99€ (Switch) [Mediamarkt Abholung]"
55°,"Hi Leute,  auf Geizhals habe ich eben das Mediapad M5 Lite 10 für nur 179,10 gefunden. Man kauft das Produkt über Ebay bei Saturn oder Mediamarkt. Bei mir hats eben funktioniert.",Geizhals DE,"179,10€",Huawei Mediapad M5 Lite 10 32GB
676°,"Heute erhaltet ihr beim Mediamarkt  unter anderem folgendes Angebot...  ►WWE 2K19 [PlayStation 4]  für 17,99€ Versandkostenfrei◄  Idealopreis:38,37€  Thx  @LaPapa    …					Weiterle",Media Markt,"17,99€","[Mediamarkt] WWE 2K19 [PlayStation 4 und Xbox One für je 17,99€ Versandkostenfrei"
333°,"Den SanDisk Ultra 256 GB USB-Stick gibt es gerade zum reduzierten Preis von 39 Euro bei Mediamarkt. Kauft man bei ebay.de, lassen sich weitere 10 Prozent mit dem Code POWERFRIDAY s",eBay,"35,10€","SanDisk Ultra 256GB USB-Flash-Laufwerk USB 3.0 bis zu 100MB/Sek für 35,10 Euro bei ebay"
733°,MediaMarkt CH weiss im Gegensatz zu anderen wie BlackFriady geht. Neben vielen anderen guten Angeboten gibts auch die die PS4 Controller V2 zu einem sehr guten Kurs und das für all,Media Markt Schweiz (CH),"34,42€",[MediaMarkt CH] Sony PS4 DualShock Controller V2 viele Farben
255°,Gerade eben im Indupark in Dortmund Kley an der Wulfshofstraße entdeckt. Man erhält das Gerät im Zuge des Black Friday zum absoluten Bestpreis.      Technische Daten Abmessungen &a,NaN,49€,( Lokal MediaMarkt Dortmund Indupark ) Bestpreis: Google Home
